Filename	Syllable	Time(s)
PN1	1	0.09950524141327649
PN1	2	0.14992123039600325
PN1	3	0.18706985385695973
PN1	4	0.10083197796545351
PN1	5	0.08093092968279825
PN1	6	0.17778269799172064
PN1	7	0.20829763869179208
PN2	1	0.04783171693595267
PN2	2	0.10195708083716232
PN2	3	0.0881110575135971
PN2	4	0.11832056294683035
PN2	5	0.13216658627039557
PN2	6	0.15608244473837196
PN2	7	0.2592982549685856
PN3	1	0.11175191386212796
PN3	2	0.10409767318663976
PN3	3	0.21738043518386535
PN3	4	0.0811349511601751
PN3	5	0.1561465097799597
PN3	6	0.11940615453761616
PN3	7	0.2939228419387476
PN4	1	0.06858257312785426
PN4	2	0.1457379678966903
PN4	3	0.12573471740106623
PN4	4	0.12287711018740555
PN4	5	0.12716352100789652
PN4	6	0.12001950297374497
PN4	7	0.1757428436401265
PN5	1	0.10386170929401276
PN5	2	0.09654750441415266
PN5	3	0.17554091711664122
PN5	4	0.09654750441415272
PN5	5	0.2369802381074657
PN5	6	0.10239886831804079
PN5	7	0.3262135376417583
PN6	1	0.10392852255468399
PN6	2	0.15189553296453817
PN6	3	0.09113731977872297
PN6	4	0.1598900346995138
PN6	5	0.0943351204727132
PN6	6	0.30858776697006185
PN6	7	0.30379106592907634
PN7	1	0.1114466813327632
PN7	2	0.12859232461472675
PN7	3	0.11859069936691474
PN7	4	0.1171618957600844
PN7	5	0.17288523642646592
PN7	6	0.16145480757182362
PN7	7	0.26289986365677465
PN8	1	0.14206362150833013
PN8	2	0.19758273795986142
PN8	3	0.10287365695430806
PN8	4	0.12083572404156806
PN8	5	0.1567598582160885
PN8	6	0.11756989366206616
PN8	7	0.22860812656512897
PN9	1	0.07484157451154932
PN9	2	0.11566425151784909
PN9	3	0.19050582602939836
PN9	4	0.10715952714153654
PN9	5	0.14628125927257374
PN9	6	0.16158976314993612
PN9	7	0.3725069276824844
PN10	1	0.10532455026998475
PN10	2	0.16383818930886518
PN10	3	0.16383818930886512
PN10	4	0.06729068489471257
PN10	6	0.20772341858802545
PN10	7	0.2296660332276057
PN11	1	0.1309727553952114
PN11	2	0.19390771577992333
PN11	3	0.1564869285241487
PN11	4	0.2398332274120104
PN11	5	0.09015007838891176
PN11	6	0.2143190542830733
PN11	7	0.2551417312893727
PN12	1	0.14219916277247685
PN12	2	0.09355208077136629
PN12	3	0.08980999754051172
PN12	4	0.16652270377303202
PN12	5	0.25071957646726184
PN12	6	0.13845707954162212
PN12	7	0.4434368628562766
PN13	1	0.1086902175919327
PN13	2	0.14849226910447144
PN13	3	0.12859124334820204
PN13	4	0.15461566164486196
PN13	5	0.15461566164486207
PN13	6	0.20513365010308415
PN13	7	0.192886865022303
PN14	1	0.12206106933066982
PN14	2	0.0954580157586008
PN14	3	0.20343511555111632
PN14	4	0.21751908508927065
PN14	5	0.17526717647480794
PN14	6	0.17683206197904733
PN14	7	0.3474045819411371
PN15	1	0.09130683083285351
PN15	2	0.18710416154273268
PN15	3	0.10627516375627222
PN15	4	0.08980999754051167
PN15	5	0.07633849790943492
PN15	6	0.11076566363329776
PN15	7	0.43707532136382343
PN16	1	0.12723037932133963
PN16	2	0.09715774420902301
PN16	3	0.28915995300304465
PN16	4	0.11566398120121768
PN16	5	0.15267645518560768
PN16	6	0.16886941255377796
PN16	7	0.298413071499142
PN17	1	0.12825206355523927
PN17	2	0.2900469745018488
PN17	3	0.13417138956548114
PN17	4	0.13417138956548114
PN17	5	0.1815259976474155
PN17	6	0.1262789548851586
PN17	7	0.3946217340161209
PN18	1	0.0985877867670795
PN18	2	0.1251908403391485
PN18	3	0.12675572584338796
PN18	4	0.18622137500448344
PN18	5	0.19717557353415893
PN18	6	0.12988549685186657
PN18	7	0.3505343529496159
PN19	1	0.10797709979251563
PN19	2	0.20500000105535576
PN19	3	0.136145038868824
PN19	4	0.11423664180947302
PN19	5	0.1909160315172015
PN19	6	0.10954198529675496
PN19	7	0.2222137416019887
PN20	1	0.1828875825186278
PN20	2	0.13907076587353984
PN20	3	0.15431139775009217
PN20	4	0.14478600282724718
PN20	5	0.12192505501241846
PN20	6	0.12573521298155654
PN20	7	0.23432471510199204
PN21	1	0.09338311035049807
PN21	2	0.1408401008564889
PN21	3	0.1408401008564888
PN21	4	0.13471661821055458
PN21	5	0.2097292806232498
PN21	6	0.1362474888720382
PN21	7	0.22963059922253604
PN22	1	0.12029180192687866
PN22	2	0.13798177279847845
PN22	3	0.14505776114711832
PN22	4	0.15744074075723824
PN22	5	0.19812767376191787
PN22	6	0.20874165628487762
PN22	7	0.2883465252070767
PN23	1	0.11940615453761622
PN23	2	0.1791092318064243
PN23	3	0.15308481350976433
PN23	4	0.09338173624095625
PN23	5	0.1561465097799597
PN23	6	0.16380075045544784
PN23	7	0.3383174378565792
PN24	1	0.09430049741753724
PN24	2	0.18560732825039084
PN24	3	0.17063899532697213
PN24	4	0.1601611622805792
PN24	5	0.184110494958049
PN24	6	0.09879099729456287
PN24	7	0.29487615859134664
PN25	1	0.06259542016957426
PN25	2	0.12988549685186662
PN25	3	0.10015267227131885
PN25	4	0.12049618382643046
PN25	5	0.15492366491969634
PN25	6	0.13458015336458473
PN25	7	0.3787022920259242
PN26	1	0.07671270623252041
PN26	2	0.1496833292341861
PN26	3	0.11600458015649429
PN26	4	0.23388020192841585
PN26	5	0.10664937207935765
PN26	6	0.30497978331465425
PN26	7	0.40601603054772983
PN27	1	0.09545801575860074
PN27	2	0.136145038868824
PN27	3	0.14553435189426023
PN27	4	0.19404580252568027
PN27	5	0.10484732878403691
PN27	6	0.1267557258433878
PN27	7	0.23003816912318564
PN28	1	0.14117842464678626
PN28	2	0.12757086564468645
PN28	3	0.178599211902561
PN28	4	0.11396330664258647
PN28	5	0.17009448752624867
PN28	6	0.10886047201679894
PN28	7	0.34529180967828466
PN29	1	0.09307616581580253
PN29	2	0.11756989366206627
PN29	3	0.1290002999903228
PN29	4	0.18288650125210315
PN29	5	0.12246863923131901
PN29	6	0.17635484049309957
PN29	7	0.24657019365238897
PN30	1	0.0862378758915063
PN30	2	0.10613892417416157
PN30	3	0.14992123039600325
PN30	4	0.22023826766138532
PN30	5	0.10746566072633856
PN30	6	0.1432875476351182
PN30	7	0.27463446630064314
PN31	1	0.08606870273316464
PN31	2	0.1001526722713188
PN31	3	0.18152671849176544
PN31	4	0.13927480987730267
PN31	5	0.11736641281795179
PN31	6	0.1158015273137124
PN31	7	0.2769847342503662
PN32	1	0.10552742290167916
PN32	2	0.14709883192355272
PN32	3	0.11032412394266455
PN32	4	0.11831862567764029
PN32	5	0.11671972533064512
PN32	6	0.1470988319235529
PN32	7	0.34056577390996434
PN33	1	0.13145044993526367
PN33	2	0.12192505501241857
PN33	3	0.17145710861121355
PN33	4	0.12573521298155677
PN33	5	0.14478600282724696
PN33	6	0.21336884627173247
PN33	7	0.28576184768535584
PN34	1	0.0906947438743369
PN34	2	0.07314092247930398
PN34	3	0.12872802356357504
PN34	4	0.13165366046274707
PN34	5	0.19309203534536246
PN34	6	0.13457929736191931
PN34	7	0.2940265083668019
