Filename,Syllable,Time
AC1,1,0.08630919428582029
AC1,2,0.16992122625020878
AC1,3,0.17801271321450451
AC1,4,0.11597797982157099
AC1,5,0.13485811607159448
AC1,6,0.11867514214300301
AC1,7,0.24813893357173344
AC2,1,0.08814673094293857
AC2,2,0.1010462525443443
AC2,3,0.11824561467955186
AC2,4,0.08814673094293857
AC2,5,0.19349282402108492
AC2,6,0.13544497681475942
AC2,7,0.2085422658893914
AC3,1,0.13134094677448294
AC3,2,0.12665019867539418
AC3,3,0.18528454991400267
AC3,4,0.1454131910717491
AC3,5,0.1055418322294952
AC3,6,0.11726870247721699
AC3,7,0.2790995118957762
AC4,1,0.1446787947077639
AC4,2,0.09542643906256765
AC4,3,0.16314842807471264
AC4,4,0.14160052247993904
AC4,5,0.09542643906256787
AC4,6,0.13544397802428954
AC4,7,0.2554965949094554
AC5,1,0.18680663524775265
AC5,2,0.24129190386168053
AC5,3,0.10637600062719232
AC5,4,0.09859239082520266
AC5,5,0.2023738548517322
AC5,6,0.10637600062719255
AC5,7,0.24907551366366976
AC6,1,0.08372860508064561
AC6,2,0.1420395979046667
AC6,3,0.0807382977563369
AC6,4,0.13755413691820362
AC6,5,0.09269952705357198
AC6,6,0.18689420776929833
AC6,7,0.15400082720190178
AC7,1,0.1185756906926938
AC7,2,0.1110070295846497
AC7,3,0.1185756906926938
AC7,4,0.12866723883675313
AC7,5,0.1286672388367529
AC7,6,0.138758786980812
AC7,7,0.2093996239892253
AC8,1,0.10759339267073709
AC8,2,0.0962677723896066
AC8,3,0.15855868393582306
AC8,4,0.13779504675375076
AC8,5,0.10570578929054864
AC8,6,0.12269421971224381
AC8,7,0.20574876844053236
AC9,1,0.10349743100101383
AC9,2,0.1185516027829796
AC9,3,0.23898497703870492
AC9,4,0.10537920247375965
AC9,5,0.18253183285633368
AC9,6,0.10914274541925106
AC9,7,0.29543812122107616
AC10,1,0.12313088911299064
AC10,2,0.15391361139123805
AC10,3,0.11081780020169152
AC10,4,0.07080026123996963
AC10,5,0.08926989460691814
AC10,6,0.14775706693558877
AC10,7,0.22163560040338304
AC11,1,0.11319278125444687
AC11,2,0.15092370833926227
AC11,3,0.1303432026566358
AC11,4,0.20237497254582926
AC11,5,0.06174151704788011
AC11,6,0.1920847197045159
AC11,7,0.2778368267154603
AC12,1,0.10026358130765378
AC12,2,0.10026358130765378
AC12,3,0.12365841694610635
AC12,4,0.16042173009224614
AC12,5,0.18715868510762035
AC12,6,0.113632058815341
AC12,7,0.22726411763068155
AC13,1,0.10466158867619857
AC13,2,0.30800410381852716
AC13,3,0.19138119072219162
AC13,4,0.08671960204599305
AC13,5,0.12559390641143842
AC13,6,0.20932317735239714
AC13,7,0.24221681950777385
AC14,1,0.12401039546379766
AC14,2,0.11609483830653389
AC14,3,0.15039558598800995
AC14,4,0.1372029907259038
AC14,5,0.12401039546379766
AC14,6,0.12664891451621885
AC14,7,0.3139837672381258
AC15,1,0.0927002642560617
AC15,2,0.19736185293226005
AC15,3,0.10167125757116446
AC15,4,0.07176794652082186
AC15,5,0.12559390641143842
AC15,6,0.13157456862150663
AC15,7,0.41266569249472607
AC16,1,0.094371383396336
AC16,2,0.05356213652224495
AC16,3,0.19894507851119525
AC16,4,0.11987716269264315
AC16,5,0.1173265847630125
AC16,6,0.140281786129689
AC16,7,0.2065968123000872
AC17,1,0.22057987887683828
AC17,2,0.24397471451529085
AC17,3,0.14371113320763707
AC17,4,0.08689510379996657
AC17,5,0.15373749133840242
AC17,6,0.1270005363230282
AC17,7,0.3442382958229444
AC18,1,0.16095111282194852
AC18,2,0.11081879899216118
AC18,3,0.08443337066069456
AC18,4,0.15303548432250835
AC18,5,0.12928859882418808
AC18,6,0.11873442749160135
AC18,7,0.250661569148936
AC19,1,0.07176794652082186
AC19,2,0.17642953519702043
AC19,3,0.11064225088626722
AC19,4,0.13755523083157528
AC19,5,0.11662291309633566
AC19,6,0.13456489972654095
AC19,7,0.20633284624736303
AC20,1,0.18812739295966785
AC20,2,0.10905935823748858
AC20,3,0.17722145713591897
AC20,4,0.11178584219342591
AC20,5,0.149956617576547
AC20,6,0.10360639032561414
AC20,7,0.3053662030649682
AC21,1,0.10211089184294053
AC21,2,0.2160951432025019
AC21,3,0.09973621993961634
AC21,4,0.09261220422964367
AC21,5,0.1329816265861552
AC21,6,0.11635892326288566
AC21,7,0.20659645558920525
AC22,1,0.11257700314910934
AC22,2,0.1407212539363868
AC22,3,0.18575205519603055
AC22,4,0.14353567901511433
AC22,5,0.11539142822783743
AC22,6,0.21108188090458002
AC22,7,0.22233958121949104
AC23,1,0.08707112872990042
AC23,2,0.11873335735895518
AC23,3,0.14248002883074617
AC23,4,0.08443260967747923
AC23,5,0.10817928114927033
AC23,6,0.14511854788316758
AC23,7,0.2717674623993862
AC24,1,0.11028993943841914
AC24,2,0.13702689445379357
AC24,3,0.10360570068457542
AC24,4,0.16042173009224592
AC24,5,0.1838165657306987
AC24,6,0.12031629756918472
AC24,7,0.2573431920229776
AC25,1,0.10668933252189228
AC25,2,0.13702672798871518
AC25,3,0.14423866104075267
AC25,4,0.09916407946551775
AC25,5,0.12260286188463998
AC25,6,0.1475313075624345
AC25,7,0.2920832886075244
AC26,1,0.116770811427094
AC26,2,0.1730875345506384
AC26,3,0.12170217273091777
AC26,4,0.1108842018215026
AC26,5,0.15145159273180875
AC26,6,0.18390550546005313
AC26,7,0.28529710851592593
AC27,1,0.08126625364251105
AC27,2,0.11319228185921193
AC27,3,0.07546152123947492
AC27,4,0.08416861984402924
AC27,5,0.14221594387439462
