Filename,value
AC1,0.6757195647315214
AC2,0.5837674422276597
AC3,0.5641323752149933
AC4,1.2083136136339734
AC5,1.4050962570781491
AC6,1.0799132823336663
AC7,1.09000331258012
AC8,1.1275581697404737
AC9,0.955822182119444
AC10,0.9959128299140646
AC11,1.178336202165296
AC12,1.3018551268859595
AC13,0.6714184757418556
AC14,0.8510010494453484
AC15,1.057171188291273
AC16,1.0776952087573908
AC17,0.9643010698168586
AC18,1.0409838034247851
AC19,1.0661421816063759
AC20,0.7348687034245791
AC21,0.5759287262334527
AC22,0.8289320845359033
AC23,0.6715817538807051
AC24,1.1949073068244622
AC25,1.4442970886076274
AC26,1.7075439058894226
AC27,1.2350433391476885
AC28,1.1510129387124948
AC29,1.3663257086462852
AC30,0.8727637073003863
AC31,1.4676342737740231
AC32,1.1504490208592408
AC33,0.9921687391021119
AC34,0.6295538402713762
AC35,2.4477448288522456
AC36,2.343093389309552
AC37,2.278063871612954
AC38,2.601233039058134
AC39,2.8513638937567416
AC40,2.734213999783976
AC41,2.2444128552253924
AC42,2.4447642426083833
AC43,3.314736318139834
AC44,3.622108341843482
AC45,2.876693600561664
AC46,2.685592178506503
AC47,3.385875106182485
AC48,2.689970418211447
AC49,2.9529617286602465
AC50,3.2522266410440626
AC51,2.7574729641185587
AC52,2.3781171958296983
AC53,1.4556329091373925
AC54,3.3152141496218808
AC55,3.5869293980381407
AC56,3.2003781947827945
AC57,2.1218097674238603
AC58,3.6862395724257784
AC59,2.2700438580773192
AC60,3.3518350426309778
AC61,2.2466555946363957
AC62,3.742550290145667
AC63,3.7388432740113444
AC64,1.8092757958376593
AC65,1.7430242046088251
AC66,2.86814924951726
AC67,2.3676428689612647
AC68,2.2536232490393613
AC69,1.9385758180801957
AC70,1.5711751378621106
AC71,2.5283784368583935
AC72,3.0408198408360305
AC73,6.635284650561167
AC74,1.9837416750291268
AC75,3.3798800171279875
AC76,3.3360403576576867
AC77,1.8503660026890607
AC78,0.9638020294039985
AC79,2.116202603557829
AC80,3.848291337316387
AC81,1.715760242773896
AC82,3.265598613658492
AC83,1.9933456974963226
AC84,2.7271665976687887
AC85,3.9264047464613943
AC86,3.7445195995902876
AC87,1.5336425308042076
AC88,2.2569850621201812
AC89,1.2309082623545828
AC90,2.593958854659841
AC91,1.3235523100734685
AC92,1.8201049431867808
AC93,3.6356911344432215
AC94,3.3613728753722083
AC95,3.28073107679033
AC96,3.9877057547886463
AC97,4.011860923410649
AC98,2.469446086494903
AC99,1.4147374458187882
AC100,1.9183606611892372
AC101,2.4123419276488507
AC102,1.8093214094906878
