Filename	Syllable	Time(s)
PO1	1	0.10328244327979758
PO1	2	0.15022900840697823
PO1	3	0.18622137500448344
PO1	4	0.09076335924588275
PO1	5	0.1470992373984995
PO1	6	0.14240458088578156
PO1	7	0.3051526733266745
PO2	1	0.11423664180947307
PO2	2	0.17526717647480794
PO2	3	0.12049618382643046
PO2	4	0.13458015336458473
PO2	5	0.09702290126284008
PO2	6	0.24881679517405786
PO2	7	0.25664122269525436
PO3	1	0.11001886888691387
PO3	2	0.14502487262365915
PO3	3	0.17503001868372658
PO3	4	0.07501286515016847
PO3	5	0.16169439821258547
PO3	6	0.13502315727030345
PO3	7	0.2800480298939625
PO4	1	0.16744274895361116
PO4	2	0.11736641281795174
PO4	3	0.1283206113476273
PO4	4	0.13301526786034534
PO4	5	0.10328244327979752
PO4	6	0.12206106933066996
PO4	7	0.27698473425036596
PO5	1	0.0996078265748061
PO5	2	0.14206362150833018
PO5	3	0.10287365695430806
PO5	4	0.0734811835387914
PO5	5	0.17962067087260125
PO5	6	0.1322661303698247
PO5	7	0.24657019365238897
PO6	1	0.08314164667167884
PO6	2	0.18706870501127726
PO6	3	0.09113603577472484
PO6	4	0.16148665988153
PO6	5	0.06555399064497758
PO6	6	0.27180922950356523
PO6	7	0.2638148404005194
PO7	1	0.11920280885181728
PO7	2	0.102873656954308
PO7	3	0.09634199619530437
PO7	4	0.1502281974570847
PO7	5	0.13389904555957544
PO7	6	0.10940531771331174
PO7	7	0.3412792746579425
PO8	1	0.09858778676707947
PO8	2	0.15335877941545695
PO8	3	0.16744274895361122
PO8	4	0.14240458088578145
PO8	5	0.12049618382643046
PO8	6	0.13927480987730279
PO8	7	0.26916030672916946
PO9	1	0.09763521348521603
PO9	2	0.09484563595706705
PO9	3	0.19666521573450657
PO9	4	0.07531859326002377
PO9	5	0.15761113034042018
PO9	6	0.15761113034042018
PO9	7	0.37101381124382093
PO10	1	0.086681533062417
PO10	2	0.15169268285922966
PO10	3	0.14835877774144446
PO10	4	0.08834848562130959
PO10	5	0.08001372282684638
PO10	6	0.1783639238015119
PO10	7	0.2933836503651035
PO11	1	0.14145106149570896
PO11	2	0.17451754340379666
PO11	3	0.13777700795036596
PO11	4	0.17635457017646827
PO11	5	0.11756971345097889
PO11	6	0.2186061859479138
PO11	7	0.3012723907181334
PO12	1	0.13267478153699852
PO12	2	0.10260183105527887
PO12	3	0.15920973784439824
PO12	4	0.1238297961011986
PO12	5	0.21404864754635755
PO12	6	0.1875136912389579
PO12	7	0.267118560161157
PO13	1	0.09797572233494878
PO13	2	0.14832435742374184
PO13	3	0.10886191370549869
PO13	4	0.08436798312176141
PO13	5	0.15921054879429175
PO13	6	0.2245276970175908
PO13	7	0.259907818971878
PO14	1	0.12205931227256717
PO14	2	0.0829377378262316
PO14	3	0.198737598187385
PO14	4	0.09389177867120557
PO14	5	0.17526465351958365
PO14	6	0.139272805028955
PO14	7	0.36304821086199457
PO15	1	0.13110982845360136
PO15	2	0.16628563608749447
PO15	3	0.10712632324867422
PO15	4	0.07674721665576667
PO15	5	0.09753292116670353
PO15	6	0.1694834367814846
PO15	7	0.4061206881367654
PO16	1	0.13019284686150892
PO16	2	0.11556443710178882
PO16	3	0.20918625956399745
PO16	4	0.08338193563040464
PO16	5	0.14482125662122902
PO16	6	0.1506726205251171
PO16	7	0.2852539903145421
PO17	1	0.13532861506352745
PO17	2	0.22034274503933315
PO17	3	0.13185865057471902
PO17	4	0.09889398793103932
PO17	5	0.11971377486388968
PO17	6	0.21513779830612056
PO17	7	0.5361095135208973
PO18	1	0.13573634264887824
PO18	2	0.12144830658057532
PO18	3	0.08572821640981787
PO18	4	0.16574121839231448
PO18	5	0.15716839675133265
PO18	6	0.105731466905442
PO18	7	0.3057639718616838
PO19	1	0.09960782657480616
PO19	2	0.13226613036982465
PO19	3	0.14206362150833007
PO19	4	0.09634199619530437
PO19	5	0.1747219253033485
PO19	6	0.1534940278365865
PO19	7	0.2792284974474075
PO20	1	0.09763521348521603
PO20	2	0.12413620000263181
PO20	3	0.11576746741818478
PO20	4	0.143663242699675
PO20	5	0.15342676404819666
PO20	6	0.13529451011522786
PO20	7	0.278957752814903
PO21	1	0.12318373935269805
PO21	2	0.19605299361767436
PO21	3	0.09542402344223089
PO21	4	0.09368904119782673
PO21	5	0.17870317117363244
PO21	6	0.16655829546280299
PO21	7	0.24636747870539621
PO22	1	0.11168431217794911
PO22	2	0.11501817224296257
PO22	3	0.19669774383579086
PO22	4	0.10501659204792235
PO22	5	0.19169695373827078
PO22	6	0.18502923360824397
PO22	7	0.3117159160787535
PO23	1	0.09542278449100466
PO23	2	0.1075675025171326
PO23	3	0.1544114149036258
PO23	4	0.0798081470288402
PO23	5	0.07113334843874897
PO23	6	0.1665561329297537
PO23	7	0.23768948136850254
PO24	1	0.10328244327979752
PO24	2	0.14709923739849962
PO24	3	0.10171755777555813
PO24	4	0.10954198529675496
PO24	5	0.14553435189426023
PO24	6	0.10328244327979763
PO24	7	0.27854961975460535
PO25	1	0.12049618382643046
PO25	2	0.13927480987730279
PO25	3	0.0845038172289252
PO25	4	0.15022900840697828
PO25	5	0.14553435189426023
PO25	6	0.18622137500448355
PO25	7	0.3051526733266745
PO26	1	0.10392852255468402
PO26	2	0.1486977322705479
PO26	3	0.10232962220768893
PO26	4	0.1694834367814847
PO26	5	0.09753292116670342
PO26	6	0.23823615170227563
PO26	7	0.34056577390996456
