Filename,Syllable,Time
ED1,1,0.13912777485293248
ED1,2,0.17921543879360796
ED1,3,0.16978304727815496
ED1,4,0.1249791875797529
ED1,5,0.12497918757975301
ED1,6,0.22401929849200997
ED1,7,0.1579925578838386
ED2,1,0.07600827988489905
ED2,2,0.12207390405756507
ED2,3,0.11055749801439863
ED2,4,0.128983747683465
ED2,5,0.23493468328059697
ED2,6,0.1842624966906643
ED2,7,0.15431984097843143
ED3,1,0.10825421680576525
ED3,2,0.1888690591079309
ED3,3,0.10134437317986544
ED3,4,0.21881171482016382
ED3,5,0.1842624966906643
ED3,6,0.11055749801439863
ED3,7,0.25796749536693
ED4,1,0.08295896009063466
ED4,2,0.11429901168043
ED4,3,0.1198296090198056
ED4,4,0.1843532446458549
ED4,5,0.12167314146626418
ED4,6,0.14563906327022524
ED4,7,0.17513558241356209
ED5,1,0.10084574995580495
ED5,2,0.19073000535119627
ED5,3,0.14469172819745924
ED5,4,0.131537934724963
ED5,5,0.16442241840620364
ED5,6,0.13373023363704573
ED5,7,0.2652681683620086
ED6,1,0.06218178653645989
ED6,2,0.17697893091146283
ED6,3,0.06457339371093918
ED6,4,0.14827964481771205
ED6,5,0.11958035872396133
ED6,6,0.26068518201823576
ED6,7,0.17697893091146288
ED7,1,0.11381817015029203
ED7,2,0.142272712687865
ED7,3,0.1034710637729927
ED7,4,0.15779337225381396
ED7,5,0.15779337225381396
ED7,6,0.16038014884813878
ED7,7,0.21987601051760952
ED8,1,0.23539667008355852
ED8,2,0.12675205312191606
ED8,3,0.1189917233389417
ED8,4,0.1629669254424635
ED8,5,0.1396859360935403
ED8,6,0.1500330424708396
ED8,7,0.17072725522543797
ED9,1,0.06518732202265887
ED9,2,0.12313160826502234
ED9,3,0.1050240188142838
ED9,4,0.3368011637837375
ED9,5,0.18469741239753334
ED9,6,0.1122670545945792
ED9,7,0.33317964589358984
ED10,1,0.08971097585392615
ED10,2,0.12840982818307084
ED10,3,0.1759038742233846
ED10,4,0.08795193711169236
ED10,5,0.05101212352478157
ED10,6,0.20053041661465854
ED10,7,0.1671086805122155
ED11,1,0.1069905208716441
ED11,2,0.19349349519339887
ED11,3,0.16617676646021318
ED11,4,0.13203085554373106
ED11,5,0.1411364317881263
ED11,6,0.2617853170263632
ED11,7,0.3118659863705371
ED12,1,0.15365452970289428
ED12,2,0.14527337353728187
ED12,3,0.12012990504044452
ED12,4,0.15644824842476512
ED12,5,0.23746609135901842
ED12,6,0.16482940459037754
ED12,7,0.33524624662449654
