Filename	start 	value (s)
ED1	s	0.29197141386312947
ED2	s	0.35888920457242757
ED3	s	0.25754483139256223
ED4	s	0.1489878304564727
ED5	s	0.17717391372782296
ED6	s	0.26981273847176374
ED7	s	0.162492238603505
ED8	s	0.4677318767338336
ED9	s	0.4846188300793338
ED10	s	0.18789435274261165
ED11	s	0.1384423076828258
ED12	s	0.39619539671957893
ED13	s	0.1775904802183807
ED14	s	0.3397571583202
ED15	s	0.22775817214856758
ED16	s	0.29849236071753393
ED17	s	0.0663295773313479
ED18	s	0.20901906757651795
ED19	s	0.10537306872503965
ED20	s	0.07298275519565862
ED21	s	0.22196067057201466
ED22	s	0.17534400181870127
ED23	s	0.11434714475996743
ED24	s	0.06056956162631309
ED25	s	0.13720976233075138
ED26	s	0.17258353372663934
ED27	s	0.12494515317737757
ED28	s	0.24160286629022068
ED29	s	0.05746321474492194
ED30	s	0.20392937767320396
ED31	s	0.08281186439373
ED32	s	0.09749554658013017
ED33	s	0.12993870492705642
ED34	s	0.17721349775072634
ED35	s	0.030548881004259495
ED36	s	0.18481686580962822
ED37	s	0.14631053669602423
ED38	s	0.18273019546930025
ED39	s	0.006458288223268184
ED40	s	0.02687571389897982
ED41	s	0.14819073622167464
ED42	s	0.10902103702712529
ED43	s	0.05086602810347102
ED44	s	0.10291205738042006
ED45	s	0.1846573938514733
ED46	s	0.14556233358581697
ED47	s	0.33804776002427667
ED48	s	0.036162079084453506
ED49	s	0.20782681075135956
ED50	s	0.007244865657564065
ED51	s	0.008610855953601265
ED52	s	0.10555216369585953
ED53	s	0.1266142505567225
ED54	s	0.0019957151743564866
ED55	s	0.2089058760641092
ED56	s	0.1481894849289935
ED57	s	0.011772703654789815
ED58	s	0.19753548478302305
ED59	s	0.17216416932162593
ED60	s	0.10992684764094697
ED61	s	0.19621078132990663
ED62	s	0.1188216417210298
ED63	s	0.2661543518543487
ED64	s	0.08855417116250217
ED65	s	0.1593035916202443
ED66	s	0.15825368038395715
ED67	s	0.24987576872955683
ED68	s	0.01249600291162121
ED69	s	0.06281301170174527
ED70	s	0.11810754381126823
ED71	s	0.15571153432427623
ED72	s	0.13348724707405168
ED73	s	0.15960774676784367
ED74	s	0.13980789967650464
ED75	s	0.14863456957763171
ED76	s	0.10460612599773288
ED77	s	0.061889338924408656
ED78	s	0.1469853768861317
ED79	s	0.05892438704136899
ED80	s	0.23062238292878492
ED81	s	0.0062223492289034425
ED82	s	0.1289862634170403
ED83	s	0.23457083872236234
ED84	s	0.17587926898615558
ED85	s	0.15598328374118142
ED86	s	0.07272608943406943
ED87	s	0.09357869340163627
ED88	s	0.10952897070313898
ED89	s	0.1950862807865883
ED90	s	0.2312617382410505
ED91	s	0.14131780102053143
ED92	s	0.13460492628650303
ED93	s	0.9138719307282348
ED94	s	0.48399824820288895
ED95	s	0.08532353055665576
ED96	s	0.28064340692147977
ED97	s	0.12552026056825236
ED98	s	0.21536474097558805
ED99	s	0.11157205288398404
ED100	s	0.072393257591282
ED101	s	0.15099150447176418
ED102	s	0.11316466217733574
