Filename,Syllable,Time
NB1,1,0.06417997754805432
NB1,2,0.15626429316048018
NB1,3,0.12696473819289017
NB1,4,0.11022213535426717
NB1,5,0.14370734103151306
NB1,6,0.16044994387013578
NB1,7,0.19253993264416325
NB2,1,0.12926923584519956
NB2,2,0.13281085874506804
NB2,3,0.08676976104677786
NB2,4,0.09916544119631743
NB2,5,0.1930184480428322
NB2,6,0.14874816179447625
NB2,7,0.13281085874506804
NB3,1,0.09392477744215699
NB3,2,0.11602472507560568
NB3,3,0.09208311513936962
NB3,4,0.18416623027873924
NB3,5,0.15654129573692832
NB3,6,0.11234140047003094
NB3,7,0.22652446324284925
NB4,1,0.060278194885873604
NB4,2,0.08960272212764991
NB4,3,0.10426498574853804
NB4,4,0.14336435540423986
NB4,5,0.10263584534621717
NB4,6,0.1270729513810308
NB4,7,0.195496848278509
NB5,1,0.1031317400000033
NB5,2,0.1031317400000033
NB5,3,0.11899816153846532
NB5,4,0.11106495076923428
NB5,5,0.2122133880769299
NB5,6,0.1110649507692344
NB5,7,0.22609650692308403
NB6,1,0.0807497379112326
NB6,2,0.16351821927024612
NB6,3,0.12919958065797227
NB6,4,0.10699340273238322
NB6,5,0.13121832410575307
NB6,6,0.25839916131594454
NB6,7,0.20994931856920473
NB7,1,0.11974269332623633
NB7,2,0.1180072919736822
NB7,3,0.09024087033281575
NB7,4,0.138832108204332
NB7,5,0.10933028521091148
NB7,6,0.16312772714009005
NB7,7,0.23080837988970193
NB8,1,0.11843466578968087
NB8,2,0.08570929761095325
NB8,3,0.12310971838664192
NB8,4,0.11531796405837352
NB8,5,0.13090147271491037
NB8,6,0.12310971838664198
NB8,7,0.1838854021471361
NB9,1,0.07320582360653183
NB9,2,0.09197654760820667
NB9,3,0.09197654760820667
NB9,4,0.17456773321557584
NB9,5,0.1389033576123938
NB9,6,0.12200970601088634
NB9,7,0.25152770162244276
NB10,1,0.0417196920086261
NB10,2,0.09441825033531168
NB10,3,0.12845273592129614
NB10,4,0.11418020970781884
NB10,5,0.04940489843126772
NB10,6,0.18005340761617583
NB10,7,0.18334706751159358
NB11,1,0.09371164237983115
NB11,2,0.1491736348087107
NB11,3,0.14917363480871082
NB11,4,0.10901150236021173
NB11,5,0.11283646735530684
NB11,6,0.09179915988228349
NB11,7,0.24671024218363713
NB12,1,0.1708135884152409
NB12,2,0.12013263361071891
NB12,3,0.13327214041189128
NB12,4,0.1726906608154084
NB12,5,0.1295179956115563
NB12,6,0.14453457481289622
NB12,7,0.25152770162244265
NB13,1,0.08145855302069388
NB13,2,0.13522119801435178
NB13,3,0.09286275044359105
NB13,4,0.11078363210814357
NB13,5,0.12544617165186855
NB13,6,0.2183089220954596
NB13,7,0.1498837375580767
NB14,1,0.10681641356166874
NB14,2,0.09944976435051914
NB14,3,0.10681641356166877
NB14,4,0.11786638737839311
NB14,5,0.18232456797595176
NB14,6,0.13075802349790488
NB14,7,0.3241325652905811
NB15,1,0.0644581805975587
NB15,2,0.11602472507560571
NB15,3,0.08287480362543265
NB15,4,0.06814150520313345
NB15,5,0.11786638737839317
NB15,6,0.14180799731462923
NB15,7,0.3720157851630532
NB16,1,0.061943389205526944
NB16,2,0.12388677841105389
NB16,3,0.20835503641859054
NB16,4,0.09948483720887669
NB16,5,0.12576385081122132
NB16,6,0.17269066081540851
NB16,7,0.16518237121473844
NB17,1,0.08276848135901346
NB17,2,0.13929329789687625
NB17,3,0.16957444961358858
NB17,4,0.11304963307572569
NB17,5,0.121124606866849
NB17,6,0.13929329789687628
NB17,7,0.42999235437731387
