Filename	start 	value (s)
FF1	s	0.8014464362057097
FF2	s	0.7561346456164977
FF3	s	0.6755192751483471
FF4	s	0.857323520359253
FF5	s	0.6128870479991504
FF6	s	0.35705061268421706
FF7	s	0.7823292075939412
FF8	s	0.8147580664695351
FF9	s	0.3087920796528348
FF10	s	0.5421535408363564
FF11	s	0.33849879615208855
FF12	s	0.9493315588153003
FF13	s	0.635330318988463
FF14	s	0.4628956714927137
FF15	s	0.7147197969675843
FF16	s	0.6537371594789704
FF17	s	0.7552350485694656
FF18	s	0.555189303413693
FF19	s	0.4369075953529179
FF20	s	0.4610445953515787
FF21	s	0.63378599214268
FF22	s	0.7250981499381284
FF23	s	0.6994295445684436
FF24	s	0.41908370719127824
FF25	s	0.5993140306078779
FF26	s	0.4310142786572311
FF27	s	0.583722380686038
FF28	s	0.4597083890561154
FF29	s	0.3966598833859585
FF30	s	0.47323113465034733
FF31	s	0.5064350628488351
FF32	s	0.5606414085979845
FF33	s	0.43626915408769984
FF34	s	0.8521358016525309
FF35	s	0.4817239307776315
FF36	s	0.5190820435867445
FF37	s	0.7711029395281462
FF38	s	0.31692644356941624
FF39	s	0.505599076460391
FF40	s	0.6325815861664612
FF41	s	0.5483024814280683
FF42	s	0.5258992451746517
FF43	s	0.7357726126776376
FF44	s	0.7209346881320489
FF45	s	0.4164839799694357
FF46	s	0.48891789952594294
FF47	s	0.4941413215347765
FF48	s	0.552015820990475
FF49	s	0.5947062368946654
FF50	s	0.7058861847049549
FF51	s	0.3589265184341677
FF52	s	0.6460873742395853
FF53	s	0.5389724992640167
FF54	s	0.507563038362428
FF55	s	0.483271730036338
FF56	s	0.49605426222803545
FF57	s	0.5427324720844582
FF58	s	0.6710653259951611
FF59	s	0.5689683322101436
FF60	s	0.6292460560192134
FF61	s	0.9973404951570392
FF62	s	0.7563022458359419
FF63	s	0.3961846672578405
FF64	s	0.7104184631765765
FF65	s	0.8472586837278878
FF66	s	0.6814125340289309
FF67	s	0.5548308097790366
FF68	s	0.7224498508826735
FF69	s	0.29583258381242117
FF70	s	0.3964716094171851
FF71	s	0.6077232876511327
FF72	s	0.5324064048316018
FF73	s	0.31110156410850776
FF74	s	0.851405949332794
FF75	s	0.30136540052802135
FF76	s	0.4586365943490344
FF77	s	0.4795859289625361
FF78	s	0.6230933356891784
FF79	s	0.39658134617856994
FF80	s	0.32684024051280336
FF81	s	0.41953663449767736
FF82	s	0.8125308478657999
FF83	s	0.5559197953640648
FF84	s	0.5622986517750589
FF85	s	0.4711269797672732
FF86	s	0.6611330606237055
FF87	s	0.30648252761800415
FF88	s	0.8159933566303473
FF89	s	0.6436520069459584
FF90	s	0.3465470351083806
FF91	s	0.6033197196812168
FF92	s	1.345356886139318
FF93	s	0.5747330226830413
FF94	s	0.7529572113359057
FF95	s	0.5185342893662532
FF96	s	0.3660527196618856
FF97	s	0.5799591775978877
FF98	s	0.7445420600450534
FF99	s	0.7880674744717838
FF100	s	0.7246538664220606
FF101	s	0.49485030677953523
FF102	s	0.7591557202015321
