Filename,Syllable,Time
JP1,1,0.06074510705826247
JP1,2,0.16765649548080444
JP1,3,0.15307766978682147
JP1,4,0.15672237621031715
JP1,5,0.1482180612221604
JP1,6,0.16644159333963915
JP1,7,0.24662513465654556
JP2,1,0.1580071114651051
JP2,2,0.20577670330339273
JP2,3,0.13106016222299416
JP2,4,0.11636182627275193
JP2,5,0.2057767033033927
JP2,6,0.14453363684404974
JP2,7,0.22537448457038245
JP3,1,0.06243866401140083
JP3,2,0.12828307333251443
JP3,3,0.08060263899653558
JP3,4,0.2679186310307381
JP3,5,0.09763136554509944
JP3,6,0.12487732802280171
JP3,7,0.3405745309712771
JP4,1,0.08388818106473901
JP4,2,0.1439562613333176
JP4,3,0.11392222119902834
JP4,4,0.13049272610070517
JP4,5,0.063175049937643
JP4,6,0.1335996957697695
JP4,7,0.2506288866378624
JP5,1,0.10097587075828968
JP5,2,0.11495714517097594
JP5,3,0.1506870686700631
JP5,4,0.09476197101931805
JP5,5,0.20661216632080814
JP5,6,0.1429196939963484
JP5,7,0.32622973629601293
JP6,1,0.09014197695453285
JP6,2,0.1555676053892745
JP6,3,0.07705685126758449
JP6,4,0.12503564545306178
JP6,5,0.15120589682695829
JP6,6,0.3024117936539168
JP6,7,0.283511056550547
JP7,1,0.19099823845867042
JP7,2,0.09340789764037166
JP7,3,0.12826159078976396
JP7,4,0.12268499988586135
JP7,5,0.10734937490012852
JP7,6,0.19239238618464616
JP7,7,0.33180715878221556
JP8,1,0.14340042776407164
JP8,2,0.12762638071002375
JP8,3,0.15057044915227524
JP8,4,0.0788702352702394
JP8,5,0.19645858603677813
JP8,6,0.09464428232428723
JP8,7,0.28536685125050254
JP9,1,0.09261185558389268
JP9,2,0.08364941794674174
JP9,3,0.10157429322104355
JP9,4,0.20016110722970354
JP9,5,0.1583363982563326
JP9,6,0.13891778337583904
JP9,7,0.6109394989324533
JP10,1,0.19908371316171936
JP10,2,0.11240781083280749
JP10,3,0.1435569632322603
JP10,4,0.07719572551168707
JP10,5,0.09480176817224739
JP10,6,0.13949403031059238
JP10,7,0.35212085321120434
JP11,1,0.10002026389810065
JP11,2,0.21939928855067242
JP11,3,0.17422884679023987
JP11,4,0.10647318414959106
JP11,5,0.11776579458969905
JP11,6,0.513007159993484
JP11,7,0
JP12,1,0.1216096847736271
JP12,2,0.142820676303911
JP12,3,0.1894848576705353
JP12,4,0.09898462714132439
JP12,5,0.14989100681400558
JP12,6,0.14282067630391093
JP12,7,0.4270479628097139
JP13,1,0.10904299125200267
JP13,2,0.06273706346005631
JP13,3,0.11949916849534542
JP13,4,0.1807424923492098
JP13,5,0.19717362801731986
JP13,6,0.2031485864420871
JP13,7,0.5228088621671361
JP14,1,0.08149740175177356
JP14,2,0.11173030885323787
JP14,3,0.12356057684946314
JP14,4,0.11830267996225186
JP14,5,0.12224610262766034
JP14,6,0.215573772375659
JP14,7,0.2997001225710383
JP15,1,0.06691909084683345
JP15,2,0.11432011353000704
JP15,3,0.20215142026647592
JP15,4,0.0864371590104932
JP15,5,0.1812392043768405
JP15,6,0.16172113621318085
JP15,7,0.47401022683173655
JP16,1,0.22240935908220638
JP16,2,0.1752316162465869
JP16,3,0.11727038933425432
JP16,4,0.09300755016164997
JP16,5,0.10783484076713035
JP16,6,0.12670593790137819
JP16,7,0.49873613854797816
JP17,1,0.07531363697138813
JP17,2,0.15062727394277625
JP17,3,0.21772487779001304
JP17,4,0.13830322425654906
JP17,5,0.12460983571629669
JP17,6,0.23415694403831577
JP17,7,0.27386777080504787
JP18,1,0.11264851430950487
JP18,2,0.17940318945587802
JP18,3,0.173840299860347
JP18,4,0.0709268423430216
JP18,5,0.13350935029274646
JP18,6,0.20999908223129904
JP18,7,0.44224972284472264
JP19,1,0.12195580120664071
JP19,2,0.0629035185171094
JP19,3,0.10141587679289066
JP19,4,0.1514819425514063
JP19,5,0.2041154988616407
JP19,6,0.12195580120664062
JP19,7,0.37100238472335956
JP20,1,0.08457823597712316
JP20,2,0.17546828060925557
JP20,3,0.12749853483118573
JP20,4,0.17799300407125918
JP20,5,0.1817800892642647
JP20,6,0.13885979041020224
JP20,7,0.2600465165863788
JP21,1,0.11806136269861889
JP21,2,0.1127552340380068
