Filename,value
JP1,0.16052721679403184
JP2,0.08467687857754443
JP3,0.12616221160188354
JP4,0.09645256784918722
JP5,0.36371789558725454
JP6,0.250262927338963
JP7,0.30131966902299767
JP8,0.2970278991073521
JP9,0.17048320235243491
JP10,0.2805208809935934
JP11,0.3793217018530628
JP12,0.1514914585351359
JP13,0.2735512351796703
JP14,0.1986588660770136
JP15,0.21070006683457743
JP16,0.08509760616365797
JP17,0.21105867371742168
JP18,0.18097722058053947
JP19,0.1914472543583617
JP20,0.19835718149435966
JP21,0.19915467269450382
JP22,0.16722851583532333
JP23,0.18349689836366442
JP24,0.1566388824874565
JP25,0.28531803036415054
JP26,0.1546237726137716
JP27,0.2528460700398833
JP28,0.1725962244420871
JP29,0.221295877694095
JP30,0.3237005059279765
JP31,0.3493568464716866
JP32,0.11077131415143258
JP33,0.21220396440103065
JP34,0.2657286633141451
JP35,0.3429719632661654
JP36,0.21379426008146654
JP37,0.18968287744005646
JP38,0.1779441001258908
JP39,0.2685670222593332
JP40,0.22032668454857623
JP41,0.2994193521883296
JP42,0.29597643981284416
JP43,0.3005793468844582
JP44,0.26147116692193884
JP45,0.29362573489004434
JP46,0.21790536798754787
JP47,0.2620532445306274
JP48,0.2059313518803707
JP49,0.29730446024631985
JP50,0.2145546693238305
JP51,0.3018661087274834
JP52,0.21198717877211173
JP53,0.28500297183478457
JP54,0.35140357750173623
JP55,0.2296802698916358
JP56,0.231978433893538
JP57,0.28915547479311765
JP58,0.21078403749434546
JP59,0.26904521851047847
JP60,0.2939041635520074
JP61,0.30874462987116436
JP62,0.1773260563239086
JP63,0.3178489155499057
JP64,0.17436875158299572
JP65,0.32004946046881705
JP66,0.2391750026127679
JP67,0.34712884527442894
JP68,0.42526274116253354
JP69,0.22991622476940562
JP70,0.35569925185976703
JP71,0.11900869122128441
JP72,0.21620550581763381
JP73,0.24408081066859613
JP74,0.2906853920900623
JP75,0.19951208504591056
JP76,0.17886157625454396
JP77,0.12203723788701036
JP78,0.3069843291857055
JP79,0.41879232451089987
JP80,0.41322786119396304
JP81,0.321975120893466
JP82,0.3630552865142232
JP83,0.30017128781497354
JP84,0.1914472543583617
JP85,0.12340875473781485
JP86,0.2286758673582836
JP87,0.15935362246187734
JP88,0.27555064981095323
JP89,0.214764515459278
JP90,0.14171089756640143
JP91,0.22596274070442565
JP92,0.25264123440563185
JP93,0.2699834541090371
JP94,0.19549862115562278
JP95,0.2659314665367538
JP96,0.27128102266126036
JP97,0.29905741263524377
JP98,0.29928185753054926
JP99,0.17670184777863135
JP100,0.28208413137713145
JP101,0.1660794173347234
JP102,0.45250266481190765
JP103,0.3290739333992905
